altitude,vertical_speed,rate_of_descent,flap_deployment,spoiler_deployment,brake_input,pitch_variability,roll_angle_variability,hard_landing
2000,548,204,71,11,2,5.956384067342103,3.240809711860696,0
500,421,520,88,37,1,3.4079702061511306,1.7297118943076708,1
500,243,210,22,34,35,3.9273705477552623,4.32274261357838,0
1500,700,404,97,41,40,2.52123206119065,3.4940279946027992,0
1000,216,291,95,0,17,5.255919542641262,5.50901823086831,0
2500,209,501,91,33,29,3.7779321637767267,1.9997433837089669,1
3000,325,492,16,34,3,1.7733116651353833,2.474969506687171,0
500,222,307,51,25,12,4.602506800627948,5.273086574488584,0
2500,319,318,5,2,21,5.899510913147631,2.5403789809419477,0
3000,538,395,54,14,33,3.7695413650497525,4.790474145731677,0
2500,280,447,3,29,37,4.447051040167139,1.7647529373654867,0
2500,732,579,66,45,14,2.035354899778037,2.6042469195090074,1
50,683,450,7,0,18,5.851437937477041,4.932773272424868,0
2000,693,285,0,15,40,4.049083991813282,3.3956317744765787,0
3000,740,448,95,7,33,5.1918381946250705,2.284463316468919,1
2500,499,301,94,44,33,3.368211503256426,2.131828329939675,0
1500,605,234,46,0,18,4.2689481239225735,5.690864576475558,0
500,658,370,1,5,29,5.956474013319736,4.0490105833060435,0
500,370,279,21,44,27,1.8771132301290474,3.3093910346619944,0
500,420,202,55,13,37,3.4517560314717506,3.332842504005534,0
2000,347,185,42,49,17,2.18621554295291,1.1547538021923167,0
50,663,316,51,34,39,4.014490073403806,4.612690391206739,0
2000,468,490,43,8,34,4.868317976037803,4.40138082398725,0
2500,498,580,35,16,38,2.5114632157704055,2.909426554399747,1
2000,726,505,24,39,33,1.9675405836147815,1.5965769654603466,1
100,392,562,13,17,2,5.581348313426687,3.8811125361820262,1
2000,736,384,23,39,3,1.5727171761825922,5.030608787631454,1
500,475,417,54,33,40,5.47718577008248,1.1316256737711856,0
2000,441,268,81,5,20,1.668470798237955,5.152740165861541,0
100,601,305,86,5,32,4.676456591736811,3.2762379691959085,0
100,580,290,53,13,1,4.931134990692271,2.8115786563697975,0
1000,746,301,76,38,25,1.8094893813846733,5.863268849114252,1
2500,349,267,18,40,11,5.002782426060525,5.671043160273919,0
100,326,523,22,14,40,3.4535892546262428,3.7768433440230837,1
100,627,499,99,12,1,4.171195800191185,3.24030384867702,0
50,544,276,26,10,0,3.0945417748165474,1.442433045658338,0
1500,232,395,10,19,27,2.7971259321937305,4.9468550239134,0
3000,221,265,94,17,10,5.4594141393228695,5.686312831812122,0
1000,638,460,71,39,36,3.402110317687866,2.678867602363669,0
3000,356,376,15,15,7,1.6759560364264139,4.776953971265297,0
50,748,224,56,1,8,5.7883893604410135,4.761870981023191,1
100,629,201,63,32,3,1.2731687832197967,5.012349476989397,0
1000,335,429,3,43,16,4.398717265555889,3.56587893562479,0
2500,343,251,87,23,32,3.0295706174964216,2.465323355824518,0
1000,491,557,33,27,29,2.0186062799972104,3.2454872924231655,1
500,313,169,58,28,36,2.8682559239367573,2.4069628329960455,0
1500,778,296,32,45,8,4.932236683552641,5.613382824048877,1
1000,629,359,88,38,9,1.3472884415579391,5.281558316663217,0
100,250,172,67,26,21,5.752065491135895,4.917401763761529,0
2500,266,324,27,29,37,4.86945575881041,4.092454073091124,0
1000,744,305,39,39,19,1.5975408427963087,1.4872660284516077,1
50,297,216,59,11,25,2.656819595735766,5.6352279477616705,0
1000,472,387,38,32,29,4.881868708479789,4.996776440312554,0
100,233,449,57,20,18,4.915821058303728,2.850175492044021,0
50,660,320,56,40,18,2.2156510588341822,3.7694568132811743,0
100,579,466,81,21,19,5.282097328306892,5.686503159945615,0
1000,314,205,37,14,5,2.176596032056099,5.545355407116423,0
2000,717,214,98,24,38,1.454158646038108,1.1441224242244665,1
50,252,366,100,14,10,2.4776651424354474,2.829725788729673,0
2000,795,228,4,21,34,1.712573730438149,2.958797095884041,1
1000,219,283,27,2,38,1.3197228218954196,4.072447262267502,0
3000,448,518,44,48,19,2.8310071539999417,3.4283837085578837,1
100,545,393,0,28,18,2.7955773549886898,2.5576518349009105,0
